0:0:0:0:0:0:0:1 - - [09/Oct/2018:23:06:07 +0530] "GET /frontend_proj/home HTTP/1.1" 200 6086
0:0:0:0:0:0:0:1 - - [09/Oct/2018:23:06:07 +0530] "GET /frontend_proj/resources/css/Navbar.css HTTP/1.1" 200 115
0:0:0:0:0:0:0:1 - - [09/Oct/2018:23:06:07 +0530] "GET /frontend_proj/resources/images/Furniture.jpg HTTP/1.1" 200 30863
0:0:0:0:0:0:0:1 - - [09/Oct/2018:23:06:07 +0530] "GET /frontend_proj/resources/images/NIIT.png HTTP/1.1" 200 951
0:0:0:0:0:0:0:1 - - [09/Oct/2018:23:06:07 +0530] "GET /frontend_proj/resources/images/HTML%20CSS%20book.jpg HTTP/1.1" 200 2678
0:0:0:0:0:0:0:1 - - [09/Oct/2018:23:06:07 +0530] "GET /frontend_proj/resources/images/Tshirt.jpg HTTP/1.1" 200 74093
0:0:0:0:0:0:0:1 - - [09/Oct/2018:23:06:16 +0530] "GET /frontend_proj/aboutus HTTP/1.1" 200 3123
0:0:0:0:0:0:0:1 - - [09/Oct/2018:23:06:16 +0530] "GET /frontend_proj/resources/images/NIIT.png HTTP/1.1" 200 951
0:0:0:0:0:0:0:1 - - [09/Oct/2018:23:06:16 +0530] "GET /frontend_proj/resources/css/Navbar.css HTTP/1.1" 200 115
0:0:0:0:0:0:0:1 - - [09/Oct/2018:23:06:20 +0530] "GET /frontend_proj/all/searchByCategory?searchCondition=Books HTTP/1.1" 200 6617
0:0:0:0:0:0:0:1 - - [09/Oct/2018:23:06:20 +0530] "GET /frontend_proj/resources/css/Navbar.css HTTP/1.1" 200 115
0:0:0:0:0:0:0:1 - - [09/Oct/2018:23:06:20 +0530] "GET /frontend_proj/resources/images/NIIT.png HTTP/1.1" 200 951
0:0:0:0:0:0:0:1 - - [09/Oct/2018:23:06:20 +0530] "GET /frontend_proj/resources/images/164.png HTTP/1.1" 200 55880
0:0:0:0:0:0:0:1 - - [09/Oct/2018:23:06:20 +0530] "GET /frontend_proj/resources/images/165.png HTTP/1.1" 200 5218
0:0:0:0:0:0:0:1 - - [09/Oct/2018:23:06:20 +0530] "GET /frontend_proj/resources/images/167.png HTTP/1.1" 200 14008
0:0:0:0:0:0:0:1 - - [09/Oct/2018:23:06:20 +0530] "GET /frontend_proj/resources/images/166.png HTTP/1.1" 200 13112
0:0:0:0:0:0:0:1 - - [09/Oct/2018:23:06:20 +0530] "GET /frontend_proj/resources/images/100.png HTTP/1.1" 200 115030
0:0:0:0:0:0:0:1 - - [09/Oct/2018:23:06:20 +0530] "GET /frontend_proj/resources/images/67.png HTTP/1.1" 200 217736
0:0:0:0:0:0:0:1 - - [09/Oct/2018:23:06:20 +0530] "GET /frontend_proj/resources/images/163.png HTTP/1.1" 200 69262
0:0:0:0:0:0:0:1 - - [09/Oct/2018:23:06:20 +0530] "GET /frontend_proj/resources/images/168.png HTTP/1.1" 200 40364
0:0:0:0:0:0:0:1 - - [09/Oct/2018:23:06:20 +0530] "GET /frontend_proj/resources/images/132.png HTTP/1.1" 200 4330
0:0:0:0:0:0:0:1 - - [09/Oct/2018:23:06:25 +0530] "GET /frontend_proj/cart/purchasedetails HTTP/1.1" 200 3515
0:0:0:0:0:0:0:1 - - [09/Oct/2018:23:06:25 +0530] "GET /frontend_proj/resources/images/NIIT.png HTTP/1.1" 200 951
0:0:0:0:0:0:0:1 - - [09/Oct/2018:23:06:25 +0530] "GET /frontend_proj/resources/css/Navbar.css HTTP/1.1" 200 115
0:0:0:0:0:0:0:1 - - [09/Oct/2018:23:06:29 +0530] "GET /frontend_proj/home HTTP/1.1" 200 6087
0:0:0:0:0:0:0:1 - - [09/Oct/2018:23:06:29 +0530] "GET /frontend_proj/resources/images/NIIT.png HTTP/1.1" 200 951
0:0:0:0:0:0:0:1 - - [09/Oct/2018:23:06:29 +0530] "GET /frontend_proj/resources/css/Navbar.css HTTP/1.1" 200 115
0:0:0:0:0:0:0:1 - - [09/Oct/2018:23:06:29 +0530] "GET /frontend_proj/resources/images/Furniture.jpg HTTP/1.1" 200 30863
0:0:0:0:0:0:0:1 - - [09/Oct/2018:23:06:29 +0530] "GET /frontend_proj/resources/images/HTML%20CSS%20book.jpg HTTP/1.1" 200 2678
0:0:0:0:0:0:0:1 - - [09/Oct/2018:23:06:29 +0530] "GET /frontend_proj/resources/images/Tshirt.jpg HTTP/1.1" 200 74093
0:0:0:0:0:0:0:1 - - [09/Oct/2018:23:06:33 +0530] "GET /frontend_proj/j_spring_security_logout HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [09/Oct/2018:23:06:33 +0530] "GET /frontend_proj/logout HTTP/1.1" 200 3018
0:0:0:0:0:0:0:1 - - [09/Oct/2018:23:06:33 +0530] "GET /frontend_proj/resources/css/Navbar.css HTTP/1.1" 200 115
0:0:0:0:0:0:0:1 - - [09/Oct/2018:23:06:33 +0530] "GET /frontend_proj/resources/images/NIIT.png HTTP/1.1" 200 951
0:0:0:0:0:0:0:1 - - [09/Oct/2018:23:06:36 +0530] "GET /frontend_proj/home HTTP/1.1" 200 5974
0:0:0:0:0:0:0:1 - - [09/Oct/2018:23:06:36 +0530] "GET /frontend_proj/resources/images/NIIT.png HTTP/1.1" 200 951
0:0:0:0:0:0:0:1 - - [09/Oct/2018:23:06:36 +0530] "GET /frontend_proj/resources/css/Navbar.css HTTP/1.1" 200 115
0:0:0:0:0:0:0:1 - - [09/Oct/2018:23:06:36 +0530] "GET /frontend_proj/resources/images/Furniture.jpg HTTP/1.1" 200 30863
0:0:0:0:0:0:0:1 - - [09/Oct/2018:23:06:36 +0530] "GET /frontend_proj/resources/images/HTML%20CSS%20book.jpg HTTP/1.1" 200 2678
0:0:0:0:0:0:0:1 - - [09/Oct/2018:23:06:36 +0530] "GET /frontend_proj/resources/images/Tshirt.jpg HTTP/1.1" 200 74093
0:0:0:0:0:0:0:1 - - [09/Oct/2018:23:08:16 +0530] "GET /frontend_proj/home HTTP/1.1" 200 5974
0:0:0:0:0:0:0:1 - - [09/Oct/2018:23:08:16 +0530] "GET /frontend_proj/resources/css/Navbar.css HTTP/1.1" 200 115
0:0:0:0:0:0:0:1 - - [09/Oct/2018:23:08:21 +0530] "GET /frontend_proj/login HTTP/1.1" 200 3372
0:0:0:0:0:0:0:1 - - [09/Oct/2018:23:08:23 +0530] "GET /frontend_proj/all/registrationform HTTP/1.1" 200 8419
0:0:0:0:0:0:0:1 - - [09/Oct/2018:23:08:23 +0530] "GET /frontend_proj/resources/css/registration.css HTTP/1.1" 200 893
0:0:0:0:0:0:0:1 - - [09/Oct/2018:23:08:28 +0530] "GET /frontend_proj/home HTTP/1.1" 200 5974
0:0:0:0:0:0:0:1 - - [09/Oct/2018:23:08:28 +0530] "GET /frontend_proj/resources/images/HTML%20CSS%20book.jpg HTTP/1.1" 200 2678
0:0:0:0:0:0:0:1 - - [09/Oct/2018:23:08:28 +0530] "GET /frontend_proj/resources/images/Furniture.jpg HTTP/1.1" 200 30863
0:0:0:0:0:0:0:1 - - [09/Oct/2018:23:08:28 +0530] "GET /frontend_proj/resources/images/Tshirt.jpg HTTP/1.1" 200 74093
